,matchcode,team,map
788,2326582,Ignite,Nuke
789,2326523,Bravado,Inferno
790,2326523,BlackOut,Nuke
791,2326468,Imperial,Mirage
792,2326468,Heroic,Train
793,2326477,OpTic India,Inferno
794,2326477,Entity,Overpass
795,2326584,ALTERNATE aTTaX,Overpass
796,2326584,Nexus,Mirage
797,2326467,eUnited,Overpass
798,2326467,Kinguin,Nuke
799,2326581,EURONICS,Overpass
800,2326581,SuperJymy,Train
801,2326476,Slaughter Rage Army,Dust2
802,2326476,Brutality,Cache
803,2326574,ALTERNATE aTTaX,Nuke
804,2326574,unknown,Dust2
805,2326577,PACT,Train
806,2326577,Gronplade,Overpass
807,2326573,Nexus,Cache
808,2326573,Lyngby Vikings,Inferno
809,2326579,Ambush,Inferno
810,2326579,Ignite,Dust2
811,2326580,Sharks,Cache
812,2326580,Squared,Inferno
813,2326578,warmup,Mirage
814,2326578,Tricked,Nuke
815,2326575,AGF,Train
816,2326575,SuperJymy,Mirage
817,2326576,Hobro Vikings,Cache
818,2326576,EURONICS,Train
819,2326530,TNC,Dust2
820,2326530,ArkAngel,Inferno
821,2326530,TNC,Cache
822,2326530,ArkAngel,Overpass
823,2326475,Brutality,Cache
824,2326475,Entity,Overpass
825,2326531,Random5,Mirage
826,2326531,Sky,Cache
827,2326532,Vindicta,Cache
828,2326532,BOOT-d[S],Nuke
829,2326474,OpTic India,Overpass
830,2326474,Slaughter Rage Army,Dust2
831,2326529,Audacity,Cache
832,2326529,ArkAngel,Mirage
833,2326535,Panthers,Overpass
834,2326535,MadMonkeyZ,Cache
835,2326350,WINside,Mirage
836,2326350,fnatic Academy,Train
837,2326534,Giants,Inferno
838,2326534,GTZ-Bulls,Nuke
839,2326503,GD,Cache
840,2326503,NOPROB,Inferno
841,2326492,Smoke Criminals,Mirage
842,2326492,PRIDE,Overpass
843,2326430,Quantum Bellator Fire,Dust2
844,2326430,unknown,Train
845,2326458,fnatic Academy,Inferno
846,2326458,Virtus.pro,Cache
847,2326349,Vault,Overpass
